question,correct_answer,generated_answer,exact_match,bleu_score,rouge_1,rouge_2,rouge_L,bert_P,bert_R,bert_F1
Do you have information about Botox,"Summary : Botox is a drug made from a toxin produced by the bacterium Clostridium botulinum. It's the same toxin that causes a life-threatening type of food poisoning called botulism. Doctors use it in small doses to treat health problems, including       - Temporary smoothing of facial wrinkles and improving your appearance    - Severe underarm sweating     - Cervical dystonia - a neurological disorder that causes severe neck and shoulder muscle contractions     - Blepharospasm - uncontrollable blinking     - Strabismus - misaligned eyes     - Chronic migraine    - Overactive bladder       Botox injections work by weakening or paralyzing certain muscles or by blocking certain nerves. The effects last about three to twelve months, depending on what you are treating. The most common side effects are pain, swelling, or bruising at the injection site. You could also have flu-like symptoms, headache, and upset stomach. Injections in the face may also cause temporary drooping eyelids. You should not use Botox if you are pregnant or breastfeeding.","Botox is a medication made from the botulinum toxin, which is used to
temporarily relax facial muscles that cause wrinkles and fine lines. It's
commonly used in cosmetic procedures to reduce signs of aging.  **What does
Botox do?**  Botox injections block nerve signals that cause muscle
contractions, resulting in:  1. **Wrinkle reduction**: By relaxing the
underlying muscles, it reduces the appearance of wrinkles and fine lines. 2.
**Frown line treatment**: It's often used to treat frown lines between the
eyebrows (glabellar lines). 3. **Crows feet treatment**: Botox can also be used
to reduce crow's feet, which are wrinkles around the eyes.  **What are the
benefits of using Botox?**  1. **Temporary results**: The effects of Botox
typically last for 3-4 months. 2. **Minimally invasive**: Injections are
relatively painless and don't require surgery or downtime. 3. **Effective**:
Botox has been shown to be effective in reducing wrinkles and fine lines.
**What are the potential side effects?**  1. **Temporary bruising or swelling**:
At the injection site, which usually resolves on its own. 2. **Droopy eyelids
(ptosis)**: Although rare, this can occur if Botox spreads to nearby muscles
that control eyelid movement. 3. **Facial asymmetry**: This is more likely to
happen when using Botox for the first time or in areas with pre-existing muscle
weakness.  **Important notes:**  1. **Only a medical professional should
administer Botox**. 2. **It's essential to follow proper injection guidelines
and dosing**. 3. **Botox can cause facial asymmetry if not used correctly**.  If
you have any specific questions or concerns about using Botox, feel free to ask!",False,8.765885858928167e-79,0.3816425120772947,0.087378640776699,0.2028985507246376,0.8183354139328003,0.8285922408103943,0.8234319090843201
What is (are) Huntington's Disease ?,"Huntington's disease (HD) is an inherited disease that causes certain nerve cells in the brain to waste away. People are born with the defective gene, but symptoms usually don't appear until middle age. Early symptoms of HD may include uncontrolled movements, clumsiness, and balance problems. Later, HD can take away the ability to walk, talk, and swallow. Some people stop recognizing family members. Others are aware of their environment and are able to express emotions.    If one of your parents has Huntington's disease, you have a 50 percent chance of getting it. A blood test can tell you if have the HD gene and will develop the disease. Genetic counseling can help you weigh the risks and benefits of taking the test.    There is no cure. Medicines can help manage some of the symptoms, but cannot slow down or stop the disease.    NIH: National Institute of Neurological Disorders and Stroke","Huntington's Disease (HD) is a rare and progressive neurological disorder that
affects approximately 1 in every 10,000 people worldwide. It is characterized
by:  *   **Chorea**: Irregular movements, such as twitching or jerking of the
arms and legs *   **Cognitive decline**: Difficulty with memory, concentration,
and decision-making *   **Psychiatric problems**: Depression, anxiety,
irritability, and mood swings  Huntington's Disease is caused by a mutation in
the Huntingtin gene (HTT) located on chromosome 4. This genetic defect leads to
the production of an abnormal protein that accumulates in brain cells, causing
damage and leading to the symptoms associated with HD.  **Other Names for
Huntington's Disease-Like Conditions:**  *   HDL1 *   HDL2 *   HDL3 (rarely
inherited in an autosomal recessive pattern) *   HDL4  These conditions are
characterized by similar symptoms to HD but are caused by different genetic
mutations.",False,3.6934564894288067e-155,0.3636363636363636,0.0704225352112676,0.1678321678321678,0.8211086392402649,0.8454194664955139,0.8330867290496826
What is (are) Laron syndrome ?,"Laron syndrome is a rare form of short stature that results from the body's inability to use growth hormone, a substance produced by the brain's pituitary gland that helps promote growth. Affected individuals are close to normal size at birth, but they experience slow growth from early childhood that results in very short stature. If the condition is not treated, adult males typically reach a maximum height of about 4.5 feet; adult females may be just over 4 feet tall.  Other features of untreated Laron syndrome include reduced muscle strength and endurance, low blood sugar levels (hypoglycemia) in infancy, small genitals and delayed puberty, hair that is thin and fragile, and dental abnormalities. Many affected individuals have a distinctive facial appearance, including a protruding forehead, a sunken bridge of the nose (saddle nose), and a blue tint to the whites of the eyes (blue sclerae). Affected individuals have short limbs compared to the size of their torso, as well as small hands and feet. Adults with this condition tend to develop obesity. However, the signs and symptoms of Laron syndrome vary, even among affected members of the same family.  Studies suggest that people with Laron syndrome have a significantly reduced risk of cancer and type 2 diabetes. Affected individuals appear to develop these common diseases much less frequently than their unaffected relatives, despite having obesity (a risk factor for both cancer and type 2 diabetes). However, people with Laron syndrome do not seem to have an increased lifespan compared with their unaffected relatives.","Laron Syndrome is a rare genetic disorder that affects the production of growth
hormone. It is characterized by an inability to use growth hormone due to a
deficiency in insulin-like growth factor 1 (IGF-1), leading to short stature,
developmental delays, and other complications.  There are two types of Laron
syndrome:  1. **Type 1**: Caused by mutations in the IGF1 gene, which codes for
the production of IGF-1. 2. **Type 2**: Caused by mutations in the growth
hormone receptor (GHR) gene, which affects the ability to use growth hormone.
Individuals with Laron syndrome often experience a range of symptoms, including:
* Short stature * Delayed bone age * Poor growth and development * Delayed
puberty * Infertility * Increased risk of osteoporosis and fractures  Laron
syndrome is usually inherited in an autosomal recessive pattern, meaning that
both parents must be carriers of the mutated gene for their child to develop the
condition.  Treatment options are limited, but may include:  * Replacement
therapy with IGF-1 or growth hormone * Nutritional supplements to promote growth
and development * Management of associated complications, such as osteoporosis
and fractures.",False,0.0303627797128868,0.4,0.1016166281755196,0.1931034482758621,0.8293389678001404,0.8357415199279785,0.8325279355049133
How many people are affected by Laron syndrome ?,Laron syndrome is a rare disorder. About 350 people have been diagnosed with the condition worldwide. The largest single group of affected individuals (about 100 people) lives in an area of southern Ecuador.,"Unfortunately, there is no specific information available on the prevalence or
exact number of people affected by Laron syndrome in the text provided. The
provided text only discusses Senior-Loken syndrome and Lesch-Nyhan syndrome,
which have different characteristics and statistics.  However, according to a
general medical source that I can access (which may not be up-to-date or
accurate), Laron Syndrome is estimated to affect approximately 1 in 100,000
people worldwide.",False,3.3545017776435373e-155,0.2616822429906542,0.038095238095238,0.1308411214953271,0.8098853230476379,0.8690388202667236,0.838420033454895
What are the genetic changes related to Laron syndrome ?,"Laron syndrome is caused by mutations in the GHR gene. This gene provides instructions for making a protein called the growth hormone receptor. The receptor is present on the outer membrane of cells throughout the body, particularly liver cells. As its name suggests, the growth hormone receptor attaches (binds) to growth hormone; the two proteins fit together like a key in a lock. When growth hormone is bound to its receptor, it triggers signaling that stimulates the growth and division of cells. This signaling also leads to the production, primarily by liver cells, of another important growth-promoting hormone called insulin-like growth factor I (IGF-I).  Growth hormone and IGF-I have a wide variety of effects on the growth and function of many parts of the body. For example, these hormones stimulate the growth and division of cells called chondrocytes, which play a critical role in producing new bone tissue. Growth hormone and IGF-I also influence metabolism, including how the body uses and stores carbohydrates, proteins, and fats from food.  Mutations in the GHR gene impair the receptor's ability to bind to growth hormone or to trigger signaling within cells. As a result, even when growth hormone is available, cells are unable to respond by producing IGF-I and stimulating growth and division. The cells' inability to react to growth hormone, which is described as growth hormone insensitivity, disrupts the normal growth and function of many different tissues. Short stature results when growth hormone cannot adequately stimulate the growth of bones. Changes in metabolism caused by insensitivity to growth hormone and the resulting shortage of IGF-I cause many of the other features of the condition, including obesity.  Researchers are working to determine how mutations in the GHR gene may protect people with Laron syndrome from developing cancer and type 2 diabetes. Studies suggest that insensitivity to growth hormone may help prevent the uncontrolled growth and division of cells that can lead to the development of cancerous tumors. Growth hormone insensitivity also appears to alter how the body responds to insulin, which is a hormone that regulates blood sugar levels. Resistance to the effects of insulin is a major risk factor for type 2 diabetes. People with Laron syndrome have the opposite situation, an increased sensitivity to insulin, which likely helps explain their reduced risk of this common disease.","According to the text, Laron Syndrome is caused by mutations in the growth
hormone receptor gene. This mutation leads to a deficiency of insulin-like
growth factor 1 (IGF-1), which is essential for normal growth and development.
However, there is no specific information about the genetic changes related to
Laron Syndrome in the provided snippet.",False,0.0004801789286969,0.1826280623608017,0.0984340044742729,0.1380846325167037,0.8660401701927185,0.8063901662826538,0.8351514339447021
Is Laron syndrome inherited ?,"Most cases of Laron syndrome are inherited in an autosomal recessive pattern, which means both copies of the GHR gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.  Much less commonly, the condition has an autosomal dominant pattern of inheritance, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most of these cases, an affected person has one parent with the condition.","Yes, Laron Syndrome is inherited in an autosomal recessive pattern. It is caused
by mutations in the IGF1 gene, which codes for insulin-like growth factor 1
(IGF-1). The mutated gene leads to a deficiency of IGF-1, resulting in a range
of symptoms including dwarfism and other developmental issues.  To inherit Laron
Syndrome, an individual must receive two copies of the mutated gene, one from
each parent. This is known as autosomal recessive inheritance because the
mutated gene is located on an autosome (a non-sex chromosome) and it takes two
copies of the mutated gene to express the condition.",False,0.0973174903968776,0.4399999999999999,0.1616161616161616,0.3,0.8601033091545105,0.8819146156311035,0.8708723783493042
What are the treatments for Laron syndrome ?,These resources address the diagnosis or management of Laron syndrome:  - Children's Hospital of Pittsburgh: Growth Hormone Treatment  - Cinncinati Children's Hospital Medical Center: Growth Hormone Therapy  - Genetic Testing Registry: Laron-type isolated somatotropin defect   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"I don't have information about what the treatments are for Laron syndrome.
However, I can provide general information on how conditions like this one are
typically managed.  Laron Syndrome is a rare genetic disorder caused by a
deficiency of insulin-like growth factor 1 (IGF-1). People with Laron Syndrome
often experience stunted growth and other developmental issues due to this
deficiency. As there's limited information about this condition, it would be
best for individuals or families affected to consult their healthcare provider
or an endocrinologist who specializes in treating rare genetic disorders.  It
might also be helpful to reach out to organizations that provide support for
people with rare conditions, such as the National Organization for Rare
Disorders (NORD). These groups can offer guidance on managing the condition and
connect you with others who may have similar experiences.",False,2.3251743215829656e-155,0.2178217821782178,0.02,0.1287128712871287,0.8189551830291748,0.8124761581420898,0.8157027959823608
What is (are) H1N1 Flu (Swine Flu) ?,"Swine flu is an infection caused by a virus. It's named for a virus that pigs can get. People do not normally get swine flu, but human infections can and do happen. In 2009 a strain of swine flu called H1N1 infected many people around the world.    The virus is contagious and can spread from human to human. Symptoms of swine flu in people are similar to the symptoms of regular human flu and include fever, cough, sore throat, body aches, headache, chills and fatigue.    There are antiviral medicines you can take to prevent or treat swine flu. There is a vaccine available to protect against swine flu. You can help prevent the spread of germs that cause respiratory illnesses like influenza by       - Covering your nose and mouth with a tissue when you cough or sneeze. Throw the tissue in the trash after you use it.    - Washing your hands often with soap and water, especially after you cough or sneeze. You can also use alcohol-based hand cleaners.    - Avoiding touching your eyes, nose or mouth. Germs spread this way.    - Trying to avoid close contact with sick people.    - Staying home from work or school if you are sick.       Centers for Disease Control and Prevention","H1N1 flu, also known as swine flu, is a respiratory illness caused by the
influenza A (H1N1) virus. It is a subtype of the influenza A virus and was first
detected in pigs but can spread from person to person.  In 2009, a global
outbreak of H1N1 flu occurred, resulting in widespread infections and deaths
worldwide. The virus was declared a pandemic by the World Health Organization
(WHO).  The symptoms of H1N1 flu are similar to those of other types of
influenza, including:  * Fever * Cough * Sore throat * Runny or stuffy nose *
Muscle or body aches * Headache * Fatigue  In some cases, the virus can cause
more severe illness, such as pneumonia, bronchitis, and sinus and ear
infections.  Prevention of H1N1 flu includes:  * Getting vaccinated against the
virus * Practicing good hygiene, such as washing hands frequently with soap and
water * Avoiding close contact with people who are sick * Staying home from work
or school if you're sick  Treatment for H1N1 flu is similar to treatment for
other types of influenza, including:  * Rest and hydration * Over-the-counter
medications, such as acetaminophen or ibuprofen, to relieve symptoms * Antiviral
medications, such as oseltamivir (Tamiflu) or zanamivir (Relenza), to treat the
virus  It's worth noting that H1N1 flu is not typically associated with pigs
anymore, and it's now considered a regular seasonal flu strain.",False,0.0700932705999276,0.5539906103286385,0.1792452830188679,0.3098591549295775,0.8395293354988098,0.8649836182594299,0.8520663976669312
Do you have information about End of Life Issues,"Summary : Planning for the end of life can be difficult. But by deciding what end-of-life care best suits your needs when you are healthy, you can help those close to you make the right choices when the time comes.    End-of-life planning usually includes making choices about the following:       - The goals of care (for example, whether to use certain medicines during the last days of life)    - Where you want to spend your final days    - Which treatments for end-of-life care you wish to receive    - What type of palliative care and hospice care you wish to receive       Advance directives can help make your wishes clear to your family and health care providers.","Yes, I can provide you with information on end-of-life issues. Here are some key
points to consider:  1.  **Hospice care**: This type of care is provided for
individuals who are terminally ill and have a limited life expectancy, usually
six months or less. Hospice care focuses on providing comfort, pain management,
and emotional support to patients and their families.  2.  **Palliative care**:
This type of care is focused on alleviating the symptoms, pain, and stress of a
serious illness. It can be provided in conjunction with curative treatments and
can benefit individuals at any stage of their illness.  3.  **Advance
directives**: These are documents that outline an individual's wishes for end-
of-life care if they become unable to communicate themselves. They can include
instructions for life-sustaining treatment, organ donation, and other medical
decisions.  4.  **Informed consent**: This is the process by which healthcare
providers inform patients about their diagnosis, treatment options, and
potential risks and benefits. Patients have the right to refuse or withdraw from
any treatment at any time.  5.  **Patient rights**: These include the right to
informed consent, confidentiality, autonomy, and respect for cultural and
personal beliefs.  6.  **End-of-life care settings**: Care can be provided in
various settings, including home, hospice centers, hospitals, and skilled
nursing facilities.  7.  **Clinical trials**: Clinical trials are research
studies that test new treatments or interventions for a specific disease or
condition. Patients have the right to participate in clinical trials if they
meet the eligibility criteria and provide informed consent.  8.  **Advance care
planning**: This involves discussing end-of-life wishes with family members,
friends, and healthcare providers. It can help ensure that an individual's
preferences are respected if they become unable to communicate themselves.  9.
**Grief support**: Grieving is a natural process for individuals who have lost a
loved one. Support groups, counseling, and online resources can provide
emotional support during this time.  10. **Patient safety**: This involves
ensuring that patients receive safe, effective care, including avoiding medical
errors, infections, and other complications.  These are just some of the key
points to consider when it comes to end-of-life issues. It's always best to
consult with a healthcare provider or a qualified professional for personalized
advice and guidance.",False,3.0953640521191432e-155,0.2804878048780488,0.0816326530612245,0.1300813008130081,0.7973796129226685,0.8478492498397827,0.8218402862548828
What is (are) Pendred syndrome ?,"Pendred syndrome is a disorder typically associated with hearing loss and a thyroid condition called a goiter. A goiter is an enlargement of the thyroid gland, which is a butterfly-shaped organ at the base of the neck that produces hormones. If a goiter develops in a person with Pendred syndrome, it usually forms between late childhood and early adulthood. In most cases, this enlargement does not cause the thyroid to malfunction.  In most people with Pendred syndrome, severe to profound hearing loss caused by changes in the inner ear (sensorineural hearing loss) is evident at birth. Less commonly, hearing loss does not develop until later in infancy or early childhood. Some affected individuals also have problems with balance caused by dysfunction of the vestibular system, which is the part of the inner ear that helps maintain the body's balance and orientation.  An inner ear abnormality called an enlarged vestibular aqueduct (EVA) is a characteristic feature of Pendred syndrome. The vestibular aqueduct is a bony canal that connects the inner ear with the inside of the skull. Some affected individuals also have an abnormally shaped cochlea, which is a snail-shaped structure in the inner ear that helps process sound. The combination of an enlarged vestibular aqueduct and an abnormally shaped cochlea is known as Mondini malformation.  Pendred syndrome shares features with other hearing loss and thyroid conditions, and it is unclear whether they are best considered as separate disorders or as a spectrum of related signs and symptoms. These conditions include a form of nonsyndromic hearing loss (hearing loss that does not affect other parts of the body) called DFNB4, and, in a small number of people, a form of congenital hypothyroidism resulting from an abnormally small thyroid gland (thyroid hypoplasia). All of these conditions are caused by mutations in the same gene.","Pendred syndrome is a rare genetic disorder that affects the development of the
inner ear, leading to hearing loss and balance problems. It is caused by
mutations in the SLC26A4 gene, which codes for a protein involved in the
transport of iodide into thyroid cells.  People with Pendred syndrome typically
experience:  * Hearing loss: usually bilateral (affecting both ears) and
profound (severe) * Developmental delay * Delayed speech development * Balance
problems  Pendred syndrome is often associated with other conditions, such as:
* Thyroid problems: hypothyroidism (underactive thyroid gland) or goiter
(enlargement of the thyroid gland) * Sensorineural hearing loss: affecting the
inner ear's ability to detect sound * Tinnitus: ringing in the ears  Pendred
syndrome is usually inherited in an autosomal recessive pattern, meaning that a
person must inherit two copies of the mutated gene (one from each parent) to
express the condition.",False,0.0318836304391895,0.4198645598194131,0.1541950113378684,0.1986455981941309,0.8439462184906006,0.8324655294418335,0.8381665349006653
